"","protein_external_id","preferred_name","protein_size","annotation","refseq_peptide","GeneID","UniqueNAME"
"12119","9606.ENSP00000365172","KDELC1",502,"KDEL motif-containing protein 1; Glycosyltransferase family 90; Belongs to the KDELC family","ENSP00000365172","KH2013:KH.C1.1064","KDELC1/2"
"2296","9606.ENSP00000261226","TMCC3",477,"Transmembrane and coiled-coil domain containing; Belongs to the TEX28 family","ENSP00000261226","KH2013:KH.C1.335","TMCC1/2/3"
"9530","9606.ENSP00000350718","TMCC2",709,"Transmembrane and coiled-coil domains protein 2; May be involved in the regulation of the proteolytic processing of the amyloid precursor protein (APP) possibly also implicating APOE; Transmembrane and coiled-coil domain containing","ENSP00000350718","KH2013:KH.C1.335","TMCC1/2/3"
"13583","9606.ENSP00000376930","TMCC1",653,"Transmembrane and coiled-coil domain containing","ENSP00000376930","KH2013:KH.C1.335","TMCC1/2/3"
"14551","9606.ENSP00000384234","TMEM196",172,"Transmembrane protein 196","ENSP00000384234","KH2013:KH.C1.666","TMEM196"
"16082","9606.ENSP00000411825","PDCD6IP",873,"Programmed cell death 6-interacting protein; Multifunctional protein involved in endocytosis, multivesicular body biogenesis, membrane repair, cytokinesis, apoptosis and maintenance of tight junction integrity. Class E VPS protein involved in concentration and sorting of cargo proteins of the multivesicular body (MVB) for incorporation into intralumenal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome. Binds to the phospholipid lysobisphosphatidic acid (LBPA) which is abundant in MVBs internal membranes. The MVB pathway requires [...] ","ENSP00000411825","KH2013:KH.C1.1000","PDCD6IP"
"7204","9606.ENSP00000325240","LASP1",261,"LIM and SH3 domain protein 1; Plays an important role in the regulation of dynamic actin-based, cytoskeletal activities. Agonist-dependent changes in LASP1 phosphorylation may also serve to regulate actin-associated ion transport activities, not only in the parietal cell but also in certain other F-actin-rich secretory epithelial cell types (By similarity); LIM domain containing","ENSP00000325240","KH2013:KH.C1.10","LASP/1"
"17775","9606.ENSP00000450607","TIMELESS",1208,"Protein timeless homolog; Plays an important role in the control of DNA replication, maintenance of replication fork stability, maintenance of genome stability throughout normal DNA replication and in the regulation of the circadian clock. Involved in the determination of period length and in the DNA damage-dependent phase advancing of the circadian clock. Negatively regulates CLOCK|NPAS2-ARTNL/BMAL1|ARTNL2/BMAL2-induced transactivation of PER1 possibly via translocation of PER1 into the nucleus. Forms a complex with TIPIN and this complex regulates DNA replication processes under both [...] ","ENSP00000450607","KH2013:KH.C1.487","TIMELESS"
"1014","9606.ENSP00000232424","HES1",280,"Transcription factor HES-1; Transcriptional repressor of genes that require a bHLH protein for their transcription. May act as a negative regulator of myogenesis by inhibiting the functions of MYOD1 and ASH1. Binds DNA on N-box motifs: 5'-CACNAG-3' with high affinity and on E-box motifs: 5'-CANNTG-3' with low affinity (By similarity). May play a role in a functional FA core complex response to DNA cross-link damage, being required for the stability and nuclear localization of FA core complex proteins, as well as for FANCD2 monoubiquitination in response to DNA damage; Basic helix-loop- [...] ","ENSP00000232424","KH2013:KH.C1.159","HES1/2/4"
"12411","9606.ENSP00000367065","HES2",173,"Transcription factor HES-2; Transcriptional repressor of genes that require a bHLH protein for their transcription; Basic helix-loop-helix proteins","ENSP00000367065","KH2013:KH.C1.159","HES1/2/4"
"15242","9606.ENSP00000393198","HES4",247,"Hes family bHLH transcription factor 4; Basic helix-loop-helix proteins","ENSP00000393198","KH2013:KH.C1.159","HES1/2/4"
"291","9606.ENSP00000209875","CBX5",191,"Chromobox protein homolog 5; Component of heterochromatin that recognizes and binds histone H3 tails methylated at 'Lys-9' (H3K9me), leading to epigenetic repression. In contrast, it is excluded from chromatin when 'Tyr-41' of histone H3 is phosphorylated (H3Y41ph). Can interact with lamin-B receptor (LBR). This interaction can contribute to the association of the heterochromatin with the inner nuclear membrane. Involved in the formation of functional kinetochore through interaction with MIS12 complex proteins; Chromobox family","ENSP00000209875","KH2013:KH.C1.912","CBX1/3/5"
"8174","9606.ENSP00000336687","CBX3",183,"Chromobox protein homolog 3; Seems to be involved in transcriptional silencing in heterochromatin-like complexes. Recognizes and binds histone H3 tails methylated at 'Lys-9', leading to epigenetic repression. May contribute to the association of the heterochromatin with the inner nuclear membrane through its interaction with lamin B receptor (LBR). Involved in the formation of functional kinetochore through interaction with MIS12 complex proteins. Contributes to the conversion of local chromatin to a heterochromatin-like repressive state through H3 'Lys-9' trimethylation, mediates the  [...] ","ENSP00000336687","KH2013:KH.C1.912","CBX1/3/5"
"13606","9606.ENSP00000377060","CBX1",185,"Chromobox protein homolog 1; Component of heterochromatin. Recognizes and binds histone H3 tails methylated at 'Lys-9', leading to epigenetic repression. Interaction with lamin B receptor (LBR) can contribute to the association of the heterochromatin with the inner nuclear membrane; Chromobox family","ENSP00000377060","KH2013:KH.C1.912","CBX1/3/5"
"4822","9606.ENSP00000297109","SAP30L",183,"Histone deacetylase complex subunit SAP30L; Isoform 1: Functions as transcription repressor, probably via its interaction with histone deacetylase complexes. Involved in the functional recruitment of the class 1 Sin3-histone deacetylase complex (HDAC) to the nucleolus. Binds DNA, apparently without sequence-specificity, and bends bound double-stranded DNA. Binds phosphoinositol phosphates (phosphoinositol 3-phosphate, phosphoinositol 4-phosphate and phosphoinositol 5-phosphate) via the same basic sequence motif that mediates DNA binding and nuclear import; Belongs to the SAP30 family","ENSP00000297109","KH2013:KH.C1.245","SAP30L"
"2042","9606.ENSP00000257910","TSPAN31",210,"Tetraspanin-31; Tetraspanin 31; Tetraspanins","ENSP00000257910","KH2013:KH.C1.584","TSPAN13/31"
"2458","9606.ENSP00000262067","TSPAN13",204,"Tetraspanin-13; Tetraspanin 13; Tetraspanins","ENSP00000262067","KH2013:KH.C1.584","TSPAN13/31"
"15063","9606.ENSP00000389399","TMCO3",677,"Transmembrane and coiled-coil domain-containing protein 3; Probable Na(+)/H(+) antiporter; Belongs to the monovalent cation:proton antiporter 2 (CPA2) transporter (TC 2.A.37) family","ENSP00000389399","KH2013:KH.C1.177","TMCO3"
"17648","9606.ENSP00000446215","RAN",216,"GTP-binding nuclear protein Ran; GTPase involved in nucleocytoplasmic transport, participating both to the import and the export from the nucleus of proteins and RNAs. Switches between a cytoplasmic GDP- and a nuclear GTP-bound state by nucleotide exchange and GTP hydrolysis. Nuclear import receptors such as importin beta bind their substrates only in the absence of GTP-bound RAN and release them upon direct interaction with GTP-bound RAN while export receptors behave in the opposite way. Thereby, RAN controls cargo loading and release by transport receptors in the proper compartment a [...] ","ENSP00000446215","KH2013:KH.C1.329","RAN"
"6924","9606.ENSP00000321703","TACC1",805,"Transforming acidic coiled-coil-containing protein 1; Likely involved in the processes that promote cell division prior to the formation of differentiated tissues","ENSP00000321703","KH2013:KH.C1.240","TACC/1/2/3"
"7314","9606.ENSP00000326550","TACC3",838,"Transforming acidic coiled-coil-containing protein 3; Plays a role in the microtubule-dependent coupling of the nucleus and the centrosome. Involved in the processes that regulate centrosome-mediated interkinetic nuclear migration (INM) of neural progenitors (By similarity). Acts as component of the TACC3/ch-TOG/clathrin complex proposed to contribute to stabilization of kinetochore fibers of the mitotic spindle by acting as inter-microtubule bridge. The TACC3/ch-TOG/clathrin complex is required for the maintenance of kinetochore fiber tension. May be involved in the control of cell gr [...] ","ENSP00000326550","KH2013:KH.C1.240","TACC/1/2/3"
"10697","9606.ENSP00000358001","TACC2",2948,"Transforming acidic coiled-coil-containing protein 2; Plays a role in the microtubule-dependent coupling of the nucleus and the centrosome. Involved in the processes that regulate centrosome-mediated interkinetic nuclear migration (INM) of neural progenitors (By similarity). May play a role in organizing centrosomal microtubules. May act as a tumor suppressor protein. May represent a tumor progression marker","ENSP00000358001","KH2013:KH.C1.240","TACC/1/2/3"
