"","refseq_peptide","ensembl_gene_id","ensembl_transcript_id","external_gene_name","refseq_peptide_predicted","protein_external_id","preferred_name","protein_size","annotation"
"56","NP_001027754","ENSCING00000009658","ENSCINT00000019640","dsh","","7719.NP_001027754.1","dsh",685,"Dishevelled homolog"
"57","NP_001027760","ENSCING00000007806","ENSCINT00000015983","calx","","7719.NP_001027760.1","calx",203,"Calaxin"
"58","NP_001027762","ENSCING00000002163","ENSCINT00000004415","pf-rib","","7719.NP_001027762.1","pf-rib",379,"Protofilament ribbon protein"
"59","NP_001027763","ENSCING00000022521","ENSCINT00000034100","fgf3/7/10/22","","7719.NP_001027763.1","NP_001027763.1",268,"Fibroblast growth factor 3/7/10/22; Belongs to the heparin-binding growth factors family"
"60","NP_001027765","ENSCING00000020114","ENSCINT00000007611","gnrhr1","XP_026689351","7719.NP_001027765.1","gnrhr1",450,"Gonadotropin-releasing hormone receptor"
"61","NP_001027767","ENSCING00000000421","ENSCINT00000000768","isl","","7719.NP_001027767.1","isl",381,"LIM homeodomain protein"
"62","NP_001027768","ENSCING00000008495","ENSCINT00000017324","rgc","","7719.NP_001027768.1","rgc",162,"Glycine rich RNA binding protein"
"63","NP_001027769","ENSCING00000004674","ENSCINT00000009675","foxL","","7719.NP_001027769.1","foxL",387,"FoxL protein"
"64","NP_001027771","ENSCING00000001131","ENSCINT00000002125","rbm12","","7719.NP_001027771.1","rbm12",1075,"Swan"
"65","NP_001027775","ENSCING00000003588","ENSCINT00000007376","cgrp-rcp","","7719.NP_001027775.1","cgrp-rcp",124,"Calcitonin gene-related peptide receptor component protein"
"66","NP_001027777","ENSCING00000000534","ENSCINT00000000973","meta2","","7719.NP_001027777.1","meta2",813,"META2 protein precursor"
"67","NP_001027781","ENSCING00000006962","ENSCINT00000014292","hox4","XP_026692112","7719.NP_001027781.2","NP_001027781.2",335,"Hox4 protein"
"68","NP_001027781","ENSCING00000006962","ENSCINT00000014292","hox4","XP_018669351","7719.NP_001027781.2","NP_001027781.2",335,"Hox4 protein"
"69","NP_001027781","ENSCING00000006962","ENSCINT00000014292","hox4","XP_026692134","7719.NP_001027781.2","NP_001027781.2",335,"Hox4 protein"
"70","NP_001027785","ENSCING00000001989","ENSCINT00000004013","gad","","7719.NP_001027785.1","gad",531,"Glutamate decarboxylase 1"
"71","NP_001027786","ENSCING00000002154","ENSCINT00000004386","csd","","7719.NP_001027786.1","csd",488,"Cysteine sulfinic acid decarboxylase"
"72","NP_001027789","ENSCING00000002345","ENSCINT00000004771","","","7719.NP_001027789.1","LOC448958",193,"Rac5 protein; Belongs to the small GTPase superfamily. Rho family"
"73","NP_001027795","ENSCING00000009336","ENSCINT00000018982","","","7719.NP_001027795.1","LOC448996",306,"Twist-like1b"
"74","NP_001027805","ENSCING00000023078","ENSCINT00000030556","ekn1","","7719.NP_001027805.1","ekn1",434,"EKN1 protein"
"75","NP_001027810","ENSCING00000003002","ENSCINT00000006141","per-like","","7719.NP_001027810.1","per-like",197,"Peroxiredoxin-like"
"76","NP_001027813","ENSCING00000024575","ENSCINT00000013331","ona14","","7719.NP_001027813.1","ona14",383,"Alpha3-fucosyltransferase"
"77","NP_001027826","ENSCING00000002041","ENSCINT00000004138","clip-like","","7719.NP_001027826.1","CILP2",764,"Cartilage intermediate layer protein-like"
"78","NP_001027830","ENSCING00000009197","ENSCINT00000018700","","","7719.NP_001027830.1","LOC494419",325,"Zinc finger protein 183"
"79","NP_001027832","ENSCING00000006806","ENSCINT00000013967","tram1/2","","7719.NP_001027832.1","TRAM1",375,"Translocating chain-associating membrane protein 1/2; Belongs to the TRAM family"
"80","NP_001027833","ENSCING00000005870","ENSCINT00000012110","akr1a","","7719.NP_001027833.1","akr1a",584,"Aldo-keto reductase 1a precursor"
"81","NP_001027839","ENSCING00000020878","ENSCINT00000030632","dazap2-like","","7719.NP_001027839.1","NP_001027839.1",171,"DAZ associated protein 2-like"
"82","NP_001027842","ENSCING00000008900","ENSCINT00000028344","","","7719.NP_001027842.1","LOC497242",711,"SLC26A5/6-like anion exchanger"
"83","NP_001027944","ENSCING00000007565","ENSCINT00000023595","rhob","","7719.NP_001027944.1","rhob",249,"Rif protein; Belongs to the small GTPase superfamily. Rho family"
"84","NP_001027946","ENSCING00000005428","ENSCINT00000011198","","","7719.NP_001027946.1","LOC445729",452,"Rh type C glycoprotein; Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily"
"85","NP_001027947","ENSCING00000007489","ENSCINT00000015355","foxE","","7719.NP_001027947.1","foxE",721,"foxE protein"
"86","NP_001027951","ENSCING00000000407","ENSCINT00000000747","wnt5","","7719.NP_001027951.1","wnt5",360,"Protein Wnt; Ligand for members of the frizzled family of seven transmembrane receptors"
"87","NP_001027957","ENSCING00000005015","ENSCINT00000010324","ncam","","7719.NP_001027957.1","ncam",641,"Neural cell adhesion molecule homologue precursor"
"88","NP_001027962","ENSCING00000003926","ENSCINT00000008105","cirgg1","","7719.NP_001027962.1","NCL",529,"Nucleolin like protein CiRGG1"
"89","NP_001027963","ENSCING00000002335","ENSCINT00000004748","","","7719.NP_001027963.1","LOC448957",193,"Rac4 protein; Belongs to the small GTPase superfamily. Rho family"
"90","NP_001027966","ENSCING00000008109","ENSCINT00000016566","tk","","7719.NP_001027966.1","tk",148,"Tachykinin"
"91","NP_001027967","ENSCING00000007206","ENSCINT00000014787","th","","7719.NP_001027967.1","th",429,"Tyrosine 3-monooxygenase"
"92","NP_001027970","ENSCING00000023260","ENSCINT00000036658","mech3","","7719.NP_001027970.1","mech3",93,"Mech3 protein precursor"
"93","NP_001027972","ENSCING00000004922","ENSCINT00000010141","pou-iv","","7719.NP_001027972.1","pou-iv",412,"POU domain, class 4, transcription factor"
"94","NP_001027974","ENSCING00000002423","ENSCINT00000004923","bf-3","XP_026693070","7719.NP_001027974.1","bf-3",963,"Complement factor B-3 precursor; Belongs to the peptidase S1 family"
"95","NP_001028175","ENSCING00000002977","ENSCINT00000006102","ci-btf3","","7719.NP_001028175.1","ci-btf3",158,"Basic transcription factor 3; Belongs to the NAC-beta family"
"96","NP_001029001","ENSCING00000007824","ENSCINT00000026975","nox4","","7719.NP_001029001.1","nox4",811,"NADPH oxidase 4"
"97","NP_001029006","ENSCING00000005686","ENSCINT00000011757","hsp70","","7719.NP_001029006.1","hsp70",627,"Heat shock protein 70"
"98","NP_001029008","ENSCING00000014144","ENSCINT00000025954","rcl1","","7719.NP_001029008.1","rcl1",194,"Rac and Cdc42-like 1 protein; Belongs to the small GTPase superfamily. Rho family"
"99","NP_001029012","ENSCING00000004363","ENSCINT00000009027","xt","","7719.NP_001029012.1","xt",848,"Xylosyltransferase; Catalyzes the first step in biosynthesis of glycosaminoglycan. Transfers D-xylose from UDP-D-xylose to specific serine residues of the core protein. Initial enzyme in the biosynthesis of chondroitin sulfate and dermatan sulfate proteoglycans in fibroblasts and chondrocytes; Belongs to the glycosyltransferase 14 family. XylT subfamily"
"100","NP_001029014","ENSCING00000018495","ENSCINT00000035211","elo","","7719.NP_001029014.1","elo",289,"Elongation of very long chain fatty acids protein; Polyunsaturated fatty acid elongase"
"101","NP_001029015","ENSCING00000007650","ENSCINT00000015672","","","7719.NP_001029015.1","LOC619278",1168,"Thrombospondin A precursor"
"102","NP_001034971","ENSCING00000002031","ENSCINT00000004104","","","7719.NP_001034971.1","LOC664635",111,"GnRH-like hexadecapeptide precursor"
"103","NP_001037820","ENSCING00000000875","ENSCINT00000001598","fgfr","","7719.NP_001037820.1","fgfr",747,"Fibroblast growth factor receptor; Receptor for basic fibroblast growth factor"
"104","NP_001037821","ENSCING00000018501","ENSCINT00000031228","ci-zf(c2h2)-87","XP_018667368","7719.NP_001037821.1","NP_001037821.1",1251,"Zinc finger protein LOC723797"
"105","NP_001037821","ENSCING00000018501","ENSCINT00000031228","ci-zf(c2h2)-87","XP_026690213","7719.NP_001037821.1","NP_001037821.1",1251,"Zinc finger protein LOC723797"
"106","NP_001037822","ENSCING00000008920","ENSCINT00000018134","ci-zf(ring)-3","","7719.NP_001037822.1","NP_001037822.1",996,"Zinc finger protein LOC723798"
"107","NP_001037825","ENSCING00000003521","ENSCINT00000007252","n","","7719.NP_001037825.1","n",2549,"Notch precursor"
"108","NP_001037826","ENSCING00000023149","ENSCINT00000030407","dynll6","","7719.NP_001037826.1","LC6",89,"Dynein light chain 6"
"109","NP_001037827","ENSCING00000018059","ENSCINT00000032731","dynlt1","","7719.NP_001037827.1","Ci-LC3",113,"Dynein, light chain, Tctex-type 1"
"110","NP_001037829","ENSCING00000023735","ENSCINT00000035466","phox2","","7719.NP_001037829.1","phox2",154,"Homeodomain protein Phox2"
"111","NP_001037832","ENSCING00000018769","ENSCINT00000035229","polr3k","","7719.NP_001037832.1","polr3k",108,"DNA-directed RNA polymerase subunit; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates"
"112","NP_001041450","ENSCING00000017174","ENSCINT00000029501","","XP_009861954","7719.NP_001041450.1","LOC664634",138,"HN1-like protein"
"113","NP_001041451","ENSCING00000000917","ENSCINT00000001657","rbj","XP_009857506","7719.NP_001041451.1","rbj",267,"Ras-associated protein Rap1"
"114","NP_001041452","ENSCING00000024157","ENSCINT00000031754","ci-zf(c2h2)-144","","7719.NP_001041452.1","NP_001041452.1",72,"Zinc finger protein Ci-ZF(C2H2)-144"
"115","NP_001041454","ENSCING00000021229","ENSCINT00000035913","ci-zf(matrin)-4","","7719.NP_001041454.1","NP_001041454.1",122,"U1 small nuclear ribonucleoprotein C; Component of the spliceosomal U1 snRNP, which is essential for recognition of the pre-mRNA 5' splice-site and the subsequent assembly of the spliceosome. U1-C is directly involved in initial 5' splice-site recognition for both constitutive and regulated alternative splicing. The interaction with the 5' splice-site seems to precede base-pairing between the pre-mRNA and the U1 snRNA. Stimulates commitment or early (E) complex formation by stabilizing the base pairing of the 5' end of the U1 snRNA and the 5' splice-site region"
"116","NP_001041457","ENSCING00000003542","ENSCINT00000007285","zf(fyve)-9","","7719.NP_001041457.1","zf(fyve)-9",258,"Zinc finger protein ZF9"
"117","NP_001041460","ENSCING00000025148","ENSCINT00000034533","zf(c2h2)-40","","7719.NP_001041460.1","NP_001041460.1",1382,"Zinc finger protein 40"
"118","NP_001041462","ENSCING00000003615","ENSCINT00000007441","zf(c2h2)-130","","7719.NP_001041462.1","NP_001041462.1",1089,"Zinc finger protein 130"
"119","NP_001041463","ENSCING00000005102","ENSCINT00000010526","zf(an1/a20like)-2","","7719.NP_001041463.1","NP_001041463.1",1048,"Zinc finger protein 2"
"120","NP_001041465","ENSCING00000011787","ENSCINT00000022611","atbf","","7719.NP_001041465.1","NP_001041465.1",1004,"Transcription factor ATBF"
"121","NP_001041466","ENSCING00000002486","ENSCINT00000005056","zf(zz)-1","","7719.NP_001041466.1","zf(zz)-1",1039,"Zinc finger protein 1"
"122","NP_001071648","ENSCING00000003206","ENSCINT00000006544","uglcat1","XP_026694509","7719.NP_001071648.1","B3gat3",340,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase; Beta-1,3-glucuronosyltransferase; Belongs to the glycosyltransferase 43 family"
"123","NP_001071648","ENSCING00000003206","ENSCINT00000006544","uglcat1","XP_026694508","7719.NP_001071648.1","B3gat3",340,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase; Beta-1,3-glucuronosyltransferase; Belongs to the glycosyltransferase 43 family"
"124","NP_001071652","ENSCING00000012598","ENSCINT00000023695","ap-2-like1","","7719.NP_001071652.1","ap-2-like1",596,"Transcription factor protein"
"125","NP_001071655","ENSCING00000008102","ENSCINT00000016558","arnt","","7719.NP_001071655.1","arnt",549,"Transcription factor protein"
"126","NP_001071656","ENSCING00000016140","ENSCINT00000028378","","","7719.NP_001071656.1","LOC778542",378,"Transcription factor protein"
"127","NP_001071657","ENSCING00000006645","ENSCINT00000013632","atf2/7","","7719.NP_001071657.1","atf2/7",631,"Transcription factor protein"
"128","NP_001071658","ENSCING00000002838","ENSCINT00000005786","atf3","XP_026694753","7719.NP_001071658.1","atf3",273,"Transcription factor protein"
"129","NP_001071658","ENSCING00000002838","ENSCINT00000005786","atf3","XP_026694754","7719.NP_001071658.1","atf3",273,"Transcription factor protein"
"130","NP_001071658","ENSCING00000002838","ENSCINT00000005786","atf3","XP_009862145","7719.NP_001071658.1","atf3",273,"Transcription factor protein"
"131","NP_001071659","ENSCING00000011762","ENSCINT00000022579","atf4/5","","7719.NP_001071659.1","atf4/5",340,"Transcription factor protein"
"132","NP_001071662","ENSCING00000007627","ENSCINT00000015643","","","7719.NP_001071662.1","LOC778553",825,"Uncharacterized protein LOC778553"
"133","NP_001071668","ENSCING00000012247","ENSCINT00000023200","cir","","7719.NP_001071668.1","cir",242,"CIR protein"
"134","NP_001071670","ENSCING00000002993","ENSCINT00000006096","cnot7/8","","7719.NP_001071670.1","cnot7/8",278,"CNOT7/8 protein"
"135","NP_001071672","ENSCING00000009214","ENSCINT00000018726","cbfb","XP_026690215","7719.NP_001071672.1","cbfb",181,"Core-binding factor, b subunit"
"136","NP_001071673","ENSCING00000002023","ENSCINT00000004102","coup","","7719.NP_001071673.1","coup",416,"Nuclear receptor"
"137","NP_001071676","ENSCING00000017572","ENSCINT00000029892","dan","","7719.NP_001071676.1","dan",266,"DAN protein"
"138","NP_001071677","ENSCING00000004194","ENSCINT00000008682","delta","","7719.NP_001071677.1","delta",706,"Delta-like protein; Putative Notch ligand involved in the mediation of Notch signaling"
"139","NP_001071680","ENSCING00000005905","ENSCINT00000012177","dmrt1","","7719.NP_001071680.1","dmrt1",574,"Transcription factor protein"
"140","NP_001071681","ENSCING00000001818","ENSCINT00000003677","dp-1","","7719.NP_001071681.1","dp-1",534,"Transcription factor protein"
"141","NP_001071682","ENSCING00000020478","ENSCINT00000037143","ci-dril1/2","","7719.NP_001071682.1","ci-dril1/2",571,"Protein dead ringer homolog; Transcription factor"
"142","NP_001071683","ENSCING00000003538","ENSCINT00000007271","dusp8.16","XP_018670230","7719.NP_001071683.1","dusp8.16",750,"Dual specificity phosphatase"
"143","NP_001071686","ENSCING00000002757","ENSCINT00000005631","e(y)2","","7719.NP_001071686.1","ENY2",104,"Transcription and mRNA export factor ENY2; Involved in mRNA export coupled transcription activation by association with both the TREX-2 and the SAGA complexes. The transcription regulatory histone acetylation (HAT) complex SAGA is a multiprotein complex that activates transcription by remodeling chromatin and mediating histone acetylation and deubiquitination. Within the SAGA complex, participates in a subcomplex that specifically deubiquitinates histones. The SAGA complex is recruited to specific gene promoters by activators, where it is required for transcription. The TREX-2 complex  [...] "
"144","NP_001071691","ENSCING00000007163","ENSCINT00000014701","eph3","","7719.NP_001071691.1","eph3",1002,"Ephrin receptor precursor"
"145","NP_001071694","ENSCING00000005716","ENSCINT00000011798","ephrina-d","","7719.NP_001071694.1","ephrina-d",278,"Ephrin precursor; Belongs to the ephrin family"
"146","NP_001071695","ENSCING00000010012","ENSCINT00000020132","ephrinb","","7719.NP_001071695.1","ephrinb",359,"Ephrin precursor; Belongs to the ephrin family"
"147","NP_001071696","ENSCING00000005070","ENSCINT00000025023","erf2","","7719.NP_001071696.1","erf2",374,"Transcription factor protein"
"148","NP_001071700","ENSCING00000018200","ENSCINT00000034774","err","","7719.NP_001071700.1","err",515,"Nuclear receptor"
"149","NP_001071702","ENSCING00000005739","ENSCINT00000011848","ets/pointed2","","7719.NP_001071702.1","NP_001071702.1",761,"Transcription factor protein"
"150","NP_001071703","ENSCING00000012681","ENSCINT00000023797","evx-a","XP_026694905","7719.NP_001071703.1","evx-a",464,"Transcription factor protein"
"151","NP_001071704","ENSCING00000007750","ENSCINT00000015900","fli/erg2","","7719.NP_001071704.1","fli/erg2",572,"Transcription factor protein"
"152","NP_001071705","ENSCING00000005134","ENSCINT00000010563","fli/erg4","","7719.NP_001071705.2","fli/erg4",681,"Transcription factor protein"
"153","NP_001071707","ENSCING00000003946","ENSCINT00000026005","fhl1/2/3","","7719.NP_001071707.1","fhl1/2/3",284,"Fhl1/2/3 protein"
"154","NP_001071710","ENSCING00000009387","ENSCINT00000019099","foxf","","7719.NP_001071710.1","foxf",575,"Transcription factor protein"
"155","NP_001071711","ENSCING00000007221","ENSCINT00000014814","foxi-a","","7719.NP_001071711.1","foxi-a",732,"Transcription factor protein"
"156","NP_001071715","ENSCING00000006184","ENSCINT00000012768","foxk","","7719.NP_001071715.1","foxk",614,"Transcription factor protein"
"157","NP_001071719","ENSCING00000009226","ENSCINT00000018757","","","7719.NP_001071719.1","LOC778622",381,"Fringe"
"158","NP_001071721","ENSCING00000004593","ENSCINT00000009479","ftzf","XP_009858805","7719.NP_001071721.1","ftzf",504,"Nuclear receptor"
"159","NP_001071723","ENSCING00000005201","ENSCINT00000027179","fz3/6","","7719.NP_001071723.1","Fzd3",810,"Frizzled receptor precursor; Belongs to the G-protein coupled receptor Fz/Smo family"
"160","NP_001071725","ENSCING00000010923","ENSCINT00000022127","gabpalpha","","7719.NP_001071725.1","gabpalpha",364,"GA repeat binding protein alpha homolog"
"161","NP_001071726","ENSCING00000008700","ENSCINT00000017742","groucho1","","7719.NP_001071726.1","groucho1",847,"Groucho isoform X1; Groucho"
"162","NP_001071727","ENSCING00000008703","ENSCINT00000017756","groucho2","XP_018671917","7719.NP_001071727.1","groucho2",835,"Groucho"
"163","NP_001071728","ENSCING00000006004","ENSCINT00000012397","gsc","","7719.NP_001071728.1","gsc",257,"Transcription factor protein"
"164","NP_001071730","ENSCING00000001270","ENSCINT00000002464","hex","XP_026694313","7719.NP_001071730.1","hex",533,"Transcription factor protein"
"165","NP_001071732","ENSCING00000019191","ENSCINT00000033135","hlx","","7719.NP_001071732.1","hlx",555,"Transcription factor protein"
"166","NP_001071733","ENSCING00000004075","ENSCINT00000008399","hmg1/2","","7719.NP_001071733.1","hmg1/2",204,"Transcription factor protein"
"167","NP_001071735","ENSCING00000009566","ENSCINT00000019456","hnf4","","7719.NP_001071735.1","hnf4",512,"Nuclear receptor"
"168","NP_001071736","ENSCING00000007040","ENSCINT00000014451","hox12","","7719.NP_001071736.1","hox12",484,"Transcription factor protein"
